OBJECTID,StreamName,UpdatedBy,UpdatedDat,SHAPE_area,SHAPE_len
11508,Geer Canyon,MMM,2014-08-06,61737.5513465,12568.4460172
11557,Geer Canyon,MMM,2014-08-06,36406.1203033,9134.05716267
11550,Plumely Canyon,MMM,2014-08-06,37536.5735225,8082.7710012
11606,Plumely Canyon,MMM,2014-08-06,12827.2055006,3323.29575175
11618,Plumely Canyon,MMM,2014-08-06,5644.42116715,1817.93997388
11625,Plumely Canyon,MMM,2014-08-06,1148.55366576,299.610170501
11626,Plumely Canyon,MMM,2014-08-06,9515.52567499,2297.47743517
8501,Left Hand Creek,Carmen,2014-05-08,328582.491358,15350.0495699
11648,Left Hand Creek,MMM,2014-08-06,81281.4311642,8950.81916555
11664,Left Hand Creek,MMM,2014-08-06,191277.887162,10864.8973546
11685,Coal Creek,MMM,2014-08-06,46310.3809797,7670.17607024
11705,Gold Run,MMM,2014-08-06,2017.39369858,412.14362647
11706,Gold Run,MMM,2014-08-06,1486.50740265,291.683649986
11707,Gold Run,MMM,2014-08-06,952.566198359,219.364395213
11710,Gold Run,MMM,2014-08-06,1662.02963528,455.523123409
11709,Gold Run,MMM,2014-08-06,2427.80420055,542.045580261
11715,Gold Run,MMM,2014-08-06,1185.01340406,292.696844303
11716,Gold Run,MMM,2014-08-06,4632.51323301,1013.34494892
11719,Gold Run,MMM,2014-08-06,6340.25226858,1756.34584903
11728,Gold Run,MMM,2014-08-06,11099.0297945,1534.78323157
11729,Gold Run,MMM,2014-08-06,11639.9876996,1435.61900638
11736,Gold Run,MMM,2014-08-06,5489.33473803,623.191827974
11726,Gold Run,MMM,2014-08-06,5885.59895234,921.284912395
11713,Gold Run,MMM,2014-08-06,3666.8888636,904.926545974
11760,Boulder Creek,MMM,2014-08-08,1281603.08718,77919.3904056
11794,Boulder Creek,MMM,2014-08-11,23688.0105975,2039.71455317
11304,Boulder Creek,MMM,2014-08-05,262431.821289,16287.3146673
10935,Fourmile Creek,,2014-08-11,91029.0588218,17234.5157179
1589,South Boulder Creek,WJT,2014-03-03,551605.463552,36857.0439013
3939,South Boulder Creek,MMM,2014-03-24,270605.241846,23770.296547
10181,South Boulder Creek,Carmen,2014-05-17,1769152.89976,89581.035017
10651,Boulder & Whiterock Ditch,MMM,2014-06-23,108635.964788,24986.2542421
